code,employment,employment2,occupation,code.variants,career_cluster,entry_level_education,typical_on_the_job_training,annual_wage_2021,projected_growth_2020.2030,active_listening.l,active_learning.l,critical_thinking.l,monitoring.l,complex_problem_solving.l,time_management.l,social_perceptiveness.l,judgment_and_decision.l,systems_evaluation.l,programming.l,operations_analysis.l,problem_sensitivity.l,fluency_of_ideas.l,originality.l,deductive_reasoning.l,inductive_reasoning.l,information_ordering.l,written_expression.l,oral_expression.l,oral_comprehension.l,written_comprehension.l,freedom_to_make_decisions.l,installation.l,equipment_selection.l,equipment_maintenance.l,troubleshooting.l,repairing.l,finger_dexterity.l,manual_dexterity.l,wrist_finger_speed.l,visual_color_discrimination.l,exposed_to_hazardous_conditions.l,repairing_and_maintaining_electronic_equipment.l,repairing_and_maintaining_mechanical_equipment.l,basic.science.l,therapy_and_counseling.l,medicine_and_dentistry.l,chemistry.l,biology.l,psychology.l,deal_with_physically_aggressive_people.l,exposed_to_disease_or_infections.l,exposed_to_radiation.l,physical_proximity.l,consequence_of_error.l,assisting_and_caring_for_others.l,spatial_orientation.l,sound_localization.l,glare_sensitivity.l,night_vision.l,peripheral_vision.l,transportation.l,exposed_to_whole_body_vibrations.l,extremely_bright_or_inadequate_lighting.l,very_hot_or_cold_temperatures.l,exposed_to_high_places.l,in_a_enclosed_vehicle_or_equipment.l,in_an_open_vehicle_or_equipment.l,indoors_not_environmentally_controlled.l,outdoors_exposed_to_weather.l,outdoors_under_cover.l,operating_vehicles_mechanized_devices_or_equipment.l,management_of_financial_resources.l,management_of_material_resources.l,management_of_personal_resources.l,coordination.l,administration_and_management.l,personnel_and_human_resources.l,responsibility_for_outcomes_and_results.l,monitoring_and_controlling_resources.l,staffing_organizational_units.l,resolving_conflicts_and_negotiating_with_others.l,coaching_and_developing_others.l,coordinating_the_work_and_activities_of_others.l,developing_and_building_teams.l,guiding_directing_and_motivating_subordinates.l,training_and_teaching_others.l,scheduling_work_and_activities.l,service_orientation.l,speech_recognition.l,face_to_face_discussions.l,telephone.l,contact_with_others.l,deal_with_unpleasant_or_angry_people.l,frequency_of_conflict_situations.l,coordinate_or_lead_others.l,deal_with_external_customers.l,work_with_work_group_or_team.l,frequency_of_decision_making.l,identifying_objectives_actions_and_events.l,getting_information.l,monitoring_processes_materials_or_surroundings.l,interpreting_the_meaning_of_information_for_others.l,providing_consultation_and_advice_to_others.l,analysing_data_or_information.l,evaluating_information_to_determine_compliance_with_standards.l,judging_the_qualities_of_objects_services_or_people.l,processing_information.l,developing_objectives_and_strategies.l,making_decisions_and_solving_problems.l,organizing_planning_and_prioritizing_work.l,thinking_creatively.l,updating_and_using_relevant_knowledge.l,documenting_recording_information.l,working_with_computers.l,negotiation.l,persuasion.l,economics_and_accounting.l,customer_and_personal_service.l,sales_and_marketing.l,level_of_competition.l,communicating_with_people_outside_the_organization.l,performing_for_or_working_directly_with_the_public.l,selling_or_influencing_others.l,operations_monitoring.l,operation_and_control.l,time_sharing.l,selective_attention.l,explosive_strength.l,response_orientation.l,control_precision.l,multilimb_coordination.l,arm_hand_steadiness.l,reaction_time.l,auditory_attention.l,hearing_sensitivity.l,far_vision.l,depth_perception.l,administrative.l,computers_and_electronics.l,electronic_mail.l,time_pressure.l,importance_of_being_exact_or_accurate.l,importance_of_repeating_same_tasks.l,performing_administrative_activities.l,quality_control_analysis.l,technology_design.l,visualization.l,telecommunications.l,building_and_construction.l,engineering_and_technology.l,mechanical.l,design.l,public_safety_and_security.l,production_and_processing.l,physics.l,spent_time_climbing_ladders_scaffolds_or_poles.l,inspecting_equipment_structures_or_materials.l,drafting_laying_out_and_specifying_technical_devices_parts_and_equipment.l,basic.mathematics.l,systems_analysis.l,category_flexibility.l,perceptual_speed.l,flexibility_of_closure.l,speed_of_closure.l,number_facility.l,mathematical_reasoning.l,memorization.l,mathematics.l,rate_control.l,spend_time_using_your_hands_to_handle_control_or_feel_objects_tools_or_controls.l,exposed_to_contaminants.l,sounds_noise_levels_are_distracting_or_uncomfortable.l,exposed_to_hazardous_equipment.l,wear_common_protective_or_safety_equipment.l,wear_specialized_protective_or_safety_equipment.l,pace_determined_by_speed_of_equipment.l,controlling_machines_and_processes.l,handling_and_moving_objectives.l,learning_strategies.l,instructing.l,speech_clarity.l,english_language.l,history_and_archeology.l,philosophy_and_theology.l,fine_arts.l,communications_and_media.l,education_and_training.l,geography.l,sociology_and_anthropology.l,public_speaking.l,dynamic_flexibility.l,gross_body_equilibrium.l,extent_flexibility.l,gross_body_coordination.l,static_strength.l,dynamic_strength.l,trunk_strength.l,stamina.l,speed_of_limb_movement.l,responsible_for_others_health_and_safety.l,spend_time_bending_or_twisting_the_body.l,spend_time_keeping_or_regaining_balance.l,spend_time_kneeling_crouching_stooping_or_crawling.l,spend_time_making_repetitive_motions.l,spend_time_standing.l,spend_time_walking_and_running.l,cramped_work_space_awkward_positions.l,exposed_to_minor_burns_cuts_bites_or_stings.l,performing_general_physical_activities.l
11-3031,681070,227023.33333333334,Treasurers and Controllers,3,Finance,Bachelor's degree,None,131710,Much faster than average,61,61,68,64,63,56.99999999999999,52,66,61,14.000000000000002,45,66,52,50,66,63,55.00000000000001,59,70,59,63,84,0,0,0,0,0,28.999999999999996,0,0,18,0,0,0,0,0,0,0,0,31,3,2,0,38,57.99999999999999,37,0,0,0,0,0,11,0,1,3,1,7.000000000000001,0,3,1,1,0,71,43,54,52,83,59,78,71,64,71,71,65,64,74,56.99999999999999,67,39,54,98,97,88,36,53,80,51,86,72,70,76,54,68,74,85,66,65,78,76,83,80,65,79,60,59,45,54,86,49,35,64,77,24,55.00000000000001,16,0,28.999999999999996,37,0,0,0,0,0,0,16,16,37,9,50,54,100,84,91,67,64,20,9,37,9,0,14.000000000000002,0,0,19,23,0,0,15,0,61,61,55.00000000000001,45,43,45,63,61,39,73,0,21,1,30,0,0,0,3,10,11,48,45,54,69,0,14.000000000000002,0,32,53,14.000000000000002,18,37,0,0,0,0,0,0,13,0,0,28.999999999999996,6,4,3,44,18,11,0,1,7.000000000000001
11-3051,192270,32045,Biofuels Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,55.00000000000001,52,55.00000000000001,55.00000000000001,54,54,54,55.00000000000001,48,23,0,54,46,50,55.00000000000001,55.00000000000001,54,54,59,64,59,86,0,0,0,28.999999999999996,0,27,28.999999999999996,30,43,78,28.999999999999996,40,50,15,9,67,47,46,8,10,2,53,74,44,0,0,14.000000000000002,0,0,47,18,46,77,61,45,42,84,76,63,32,45,43,52,56.99999999999999,71,56.99999999999999,94,62,55.00000000000001,67,70,71,61,74,59,63,46,52,98,97,91,48,61,71,66,94,90,61,63,70,55.00000000000001,65,61,56.99999999999999,64,70,47,71,72,68,68,56.00000000000001,50,46,48,43,57.99999999999999,40,51,48,26,39,50,48,43,52,11,13,32,27,37,45,46,41,45,27,61,56.99999999999999,100,74,82,63,48,45,0,43,21,56.00000000000001,68,77,57.99999999999999,52,80,52,27,56.99999999999999,38,46,50,48,52,46,45,46,48,39,64,34,38,72,74,54,91,43,65,53,40,50,52,55.00000000000001,51,6,0,0,27,64,31,24,39,0,18,21,14.000000000000002,21,14.000000000000002,30,23,0,95,21,14.000000000000002,23,27,41,35,40,48,49
11-3051,192270,32045,Biomass Power Plant Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,55.00000000000001,48,56.99999999999999,66,54,54,52,55.00000000000001,54,13,30,66,46,45,61,56.99999999999999,55.00000000000001,56.99999999999999,59,59,61,89,0,28.999999999999996,39,43,39,37,32,0,41,52,57.99999999999999,61,36,41,14.000000000000002,65,23,56.00000000000001,14.000000000000002,8,4,65,64,38,14.000000000000002,7.000000000000001,16,0,7.000000000000001,42,7.000000000000001,59,67,69,39,21,94,66,48,38,52,52,59,56.99999999999999,71,64,94,70,59,67,68,63,67,69,56.99999999999999,72,39,48,96,96,86,40,49,79,65,92,81,66,68,70,42,51,64,59,62,76,59,73,81,64,71,60,55.00000000000001,41,46,54,48,0,42,50,0,34,55.00000000000001,43,37,45,9,18,41,30,39,32,45,34,46,34,61,57.99999999999999,98,78,83,73,45,46,11,45,31,59,69,79,48,61,71,56.99999999999999,24,64,49,46,54,50,48,46,43,45,45,41,63,27,35,77,82,63,95,25,69,64,61,45,50,54,56.00000000000001,0,22,0,35,73,20,20,50,0,23,23,20,23,9,32,20,0,99,35,17,23,32,37,38,37,37,53
11-3051,192270,32045,Geothermal Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,52,46,55.00000000000001,63,52,55.00000000000001,52,52,54,18,0,59,48,46,56.99999999999999,48,52,54,61,63,59,91,0,37,0,45,43,39,30,0,43,61,38,55.00000000000001,0,39,24,65,40,51,10,4,4,38,78,52,25,16,13,11,18,33,7.000000000000001,37,61,43,93,16,86,77,46,40,54,46,55.00000000000001,52,66,62,93,68,56.99999999999999,69,65,78,66,66,60,81,43,46,99,100,87,39,61,76,64,92,81,70,66,76,49,59,67,65,70,70,54,72,80,65,69,56.99999999999999,55.00000000000001,48,48,43,44,19,62,62,26,47,50,0,36,46,0,23,37,30,32,34,39,34,46,28.999999999999996,66,60,100,80,82,63,53,41,0,43,42,65,69,84,56.00000000000001,66,66,67,20,66,52,54,52,50,46,45,39,50,54,37,66,21,18,61,72,57.99999999999999,94,26,43,34,42,48,50,48,55.00000000000001,10,40,0,36,77,35,32,53,0,23,0,0,0,0,28.999999999999996,0,16,96,18,9,13,34,40,30,16,33,48
11-3051,192270,32045,Hydroelectric Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,56.99999999999999,52,56.99999999999999,54,54,54,52,55.00000000000001,50,20,0,59,48,46,55.00000000000001,54,56.99999999999999,59,63,61,63,89,0,27,37,43,39,36,36,34,50,59,50,70,46,26,17,48,17,52,7.000000000000001,8,2,50,75,44,28.999999999999996,20,25,18,18,23,15,44,61,40,73,23,64,63,46,40,48,48,54,54,61,59,91,69,59,76,66,75,61,69,59,69,48,52,95,100,85,42,53,75,65,86,86,65,64,71,55.00000000000001,64,61,61,62,63,59,73,76,60,69,66,46,52,50,38,43,18,54,56.00000000000001,47,34,52,46,43,48,0,27,37,25,39,39,43,41,45,36,54,62,100,73,77,65,55.00000000000001,48,20,48,39,60,65,78,55.00000000000001,65,62,59,21,68,56.00000000000001,50,48,52,54,52,46,48,48,43,60,27,37,48,76,48,93,33,34,55.00000000000001,44,54,55.00000000000001,54,56.99999999999999,15,19,0,37,66,45,26,43,0,18,25,0,0,14.000000000000002,32,0,0,96,27,13,24,38,31,33,35,36,43
11-3051,192270,32045,Industrial Production Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,56.99999999999999,56.99999999999999,56.99999999999999,70,55.00000000000001,59,55.00000000000001,63,54,11,41,59,56.99999999999999,55.00000000000001,61,56.99999999999999,56.99999999999999,56.99999999999999,59,61,56.99999999999999,85,0,28.999999999999996,20,32,23,36,25,27,41,30,41,47,16,18,11,32,12,43,11,6,2,56.00000000000001,51,37,13,9,0,0,5,33,11,30,43,26,35,22,71,33,24,33,56.99999999999999,56.99999999999999,61,56.99999999999999,67,56.00000000000001,87,54,46,60,62,60,52,67,53,60,45,52,95,89,92,50,55.00000000000001,79,47,88,86,56.99999999999999,61,69,42,50,50,52,53,57.99999999999999,50,66,68,64,68,50,56.99999999999999,54,52,33,55.00000000000001,32,51,48,31,35,50,45,41,45,9,14.000000000000002,32,25,32,32,41,25,41,28.999999999999996,54,52,97,80,87,54,44,55.00000000000001,16,46,20,22,56.00000000000001,54,44,43,77,28.000000000000004,10,56.00000000000001,41,54,55.00000000000001,55.00000000000001,43,46,41,46,52,41,53,30,43,62,69,59,90,15,56.00000000000001,69,70,56.99999999999999,52,54,49,0,18,0,30,66,23,21,45,0,7.000000000000001,21,21,21,14.000000000000002,34,23,16,89,18,14.000000000000002,14.000000000000002,23,62,51,24,39,46
11-3051,192270,32045,Quality Control Systems Managers,6,Business Management & Administration,Bachelor's degree,None,103150,Average,59,56.99999999999999,59,59,56.99999999999999,54,54,61,50,21,0,61,48,48,55.00000000000001,56.99999999999999,48,55.00000000000001,56.99999999999999,61,59,76,0,27,34,41,32,43,39,20,46,65,45,49,0,17,17,66,54,40,7.000000000000001,16,0,48,73,26,0,0,0,0,0,25,0,28.999999999999996,37,23,28.999999999999996,16,85,83,53,22,41,39,46,50,64,61,87,42,28.999999999999996,51,60,56.00000000000001,57.99999999999999,67,55.00000000000001,46,46,54,100,100,99,60,73,66,82,99,83,74,55.00000000000001,72,64,43,76,68,62,69,57.99999999999999,77,72,69,74,55.00000000000001,52,46,46,28.000000000000004,59,21,68,45,28.999999999999996,24,50,39,45,52,0,20,41,28.999999999999996,39,18,39,36,46,39,68,57.99999999999999,100,81,93,73,38,55.00000000000001,0,41,9,21,44,40,28.000000000000004,36,54,40,18,56.00000000000001,28.000000000000004,48,50,46,48,52,43,50,48,45,62,16,59,57.99999999999999,86,19,93,22,17,42,48,50,54,54,59,0,0,0,40,81,0,14.000000000000002,50,0,13,16,13,16,16,25,18,0,88,25,0,19,42,37,25,19,24,41
11-3061,69310,69310,Purchasing Managers,1,Business Management & Administration,Bachelor's degree,None,127150,Average,56.99999999999999,55.00000000000001,56.99999999999999,55.00000000000001,46,55.00000000000001,56.99999999999999,54,52,16,39,55.00000000000001,56.99999999999999,54,56.99999999999999,55.00000000000001,52,59,59,59,59,73,0,0,0,13,0,14.000000000000002,0,0,28.999999999999996,7.000000000000001,0,0,0,0,0,24,21,28.999999999999996,10,1,1,41,35,39,0,0,0,0,0,40,1,12,13,4,33,4,19,12,9,16,55.00000000000001,54,56.99999999999999,55.00000000000001,71,54,66,61,64,83,68,66,63,70,64,64,52,55.00000000000001,90,99,89,55.00000000000001,62,79,69,88,66,59,67,51,49,69,68,52,54,66,63,73,74,56.00000000000001,66,45,52,55.00000000000001,55.00000000000001,56.00000000000001,65,48,57.99999999999999,69,36,55.00000000000001,27,0,37,43,0,0,0,0,0,0,27,25,39,14.000000000000002,68,59,100,81,82,63,49,0,16,34,31,26,38,30,33,31,50,16,1,28.999999999999996,16,48,52,54,39,41,41,48,50,39,60,0,24,10,42,6,18,3,11,23,24,52,52,52,57.99999999999999,0,13,0,39,59,34,17,45,0,0,0,0,0,0,11,0,0,48,11,1,6,35,28.000000000000004,23,4,1,25
11-3071,144640,72320,Supply Chain Managers,2,Business Management & Administration,High school diploma or equivalent,None,98230,Average,56.99999999999999,54,56.99999999999999,59,56.99999999999999,56.99999999999999,55.00000000000001,56.99999999999999,55.00000000000001,13,34,56.99999999999999,46,46,55.00000000000001,55.00000000000001,54,56.99999999999999,59,59,61,76,0,0,0,13,0,20,0,0,30,6,16,16,0,26,0,13,0,41,8,3,3,51,34,35,0,0,0,0,0,73,5,24,30,13,35,13,51,28.000000000000004,20,22,43,54,55.00000000000001,56.99999999999999,77,64,80,74,67,80,74,72,72,80,63,69,45,48,98,100,89,59,70,78,68,90,65,57.99999999999999,65,56.99999999999999,56.99999999999999,74,70,56.99999999999999,57.99999999999999,60,69,74,78,66,71,54,57.99999999999999,54,52,60,72,52,64,68,40,61,27,0,41,43,0,0,0,0,0,0,25,27,43,20,34,61,100,86,75,43,54,23,20,41,35,24,40,36,35,47,71,12,5,44,39,43,54,54,41,43,36,45,50,32,63,0,20,16,50,7.000000000000001,49,16,25,27,35,46,46,46,69,0,0,0,37,56.00000000000001,53,14.000000000000002,44,0,0,0,0,0,0,11,0,0,74,8,3,4,30,33,24,8,4,26
11-3071,144640,72320,"Transportation, Storage, and Distribution Managers",2,"Transportation, Distribution & Logistics",High school diploma or equivalent,None,98230,Average,56.99999999999999,52,57.99999999999999,59,50,55.00000000000001,52,52,52,8,42,56.99999999999999,49,48,56.99999999999999,54,52,56.99999999999999,59,59,57.99999999999999,79,0,0,0,14.000000000000002,0,25,16,0,28.000000000000004,19,23,31,0,32,13,24,0,49,16,6,3,47,51,46,13,0,0,0,0,67,5,22,32,18,52,27,66,44,25,39,48,45,54,56.99999999999999,70,64,77,64,60,73,66,68,63,72,59,66,46,52,95,97,91,59,66,73,68,86,85,56.99999999999999,69,60,50,62,61,62,60,63,57.99999999999999,70,76,64,66,52,52,51,51,51,75,49,59,68,43,52,33,26,35,41,0,0,19,0,18,0,28.999999999999996,26,39,21,60,56.00000000000001,98,85,77,56.00000000000001,52,28.000000000000004,11,37,33,30,42,37,33,56.99999999999999,60,17,8,45,30,45,49,49,36,39,36,44,45,35,62,0,46,36,54,33,56.00000000000001,18,16,31,47,48,46,51,56.99999999999999,17,23,0,37,59,45,31,41,0,0,0,0,0,0,0,0,0,74,20,12,13,42,38,34,13,13,37
11-3111,15330,15330,Compensation and Benefits Managers,1,Business Management & Administration,Bachelor's degree,None,127530,Slower than average,59,54,56.99999999999999,48,46,55.00000000000001,52,56.99999999999999,55.00000000000001,9,45,46,46,45,48,48,46,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,80,0,0,0,0,0,16,5,0,21,0,0,0,0,26,16,0,0,44,5,1,0,32,47,46,0,0,0,0,0,0,0,1,1,0,12,0,1,3,4,0,52,28.999999999999996,50,52,71,84,69,69,35,76,69,64,63,71,52,52,45,48,98,100,91,51,61,69,30,81,72,54,74,44,60,76,76,70,61,69,63,71,76,60,75,60,49,45,46,55.00000000000001,67,32,53,65,23,48,16,0,28.999999999999996,34,0,0,5,0,7.000000000000001,0,14.000000000000002,16,34,0,50,52,100,68,86,42,63,11,11,25,6,0,0,0,0,26,0,0,0,0,0,41,55.00000000000001,43,34,34,30,48,45,32,72,0,48,3,14.000000000000002,0,0,0,0,0,0,43,45,50,59,0,0,0,37,48,0,39,36,0,0,0,0,0,5,11,0,0,45,7.000000000000001,3,4,41,18,14.000000000000002,0,1,0
11-3121,166530,166530,Human Resources Managers,1,Business Management & Administration,Bachelor's degree,None,126230,Average,56.99999999999999,56.99999999999999,59,59,54,59,56.99999999999999,56.99999999999999,56.99999999999999,20,28.999999999999996,56.99999999999999,56.99999999999999,55.00000000000001,59,56.99999999999999,48,56.99999999999999,59,61,61,95,0,0,0,0,0,27,5,13,20,0,0,0,14.000000000000002,53,13,0,0,57.99999999999999,25,5,1,41,61,56.00000000000001,0,0,0,0,0,13,0,4,5,1,37,1,20,7.000000000000001,8,10,52,41,64,55.00000000000001,71,88,71,65,82,95,75,69,67,76,68,69,54,66,99,100,91,56.99999999999999,73,72,47,81,77,64,75,51,63,85,68,71,71,68,65,78,82,62,77,61,41,56.99999999999999,56.99999999999999,38,75,38,55.00000000000001,69,46,61,11,0,34,39,0,0,0,0,7.000000000000001,0,23,20,39,11,66,45,100,70,76,51,70,11,13,36,15,0,12,0,11,43,33,0,0,20,0,43,52,54,39,41,43,48,50,43,53,0,39,8,24,3,12,0,3,18,25,54,55.00000000000001,59,65,21,38,0,43,85,19,54,47,0,0,0,0,0,5,14.000000000000002,0,0,67,9,3,5,44,26,22,2,4,15
11-3131,35830,35830,Training and Development Managers,1,Business Management & Administration,Bachelor's degree,None,120130,Faster than average,56.99999999999999,61,56.99999999999999,61,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,11,41,55.00000000000001,59,56.99999999999999,61,56.99999999999999,55.00000000000001,66,66,61,59,77,0,0,0,0,0,21,11,0,28.999999999999996,4,9,0,13,30,0,0,0,53,9,7.000000000000001,1,46,28.000000000000004,43,0,0,0,0,0,15,0,12,6,6,18,7.000000000000001,18,11,9,11,55.00000000000001,43,59,56.99999999999999,64,67,68,62,61,72,81,73,68,76,84,70,52,61,84,91,91,45,56.00000000000001,72,56.00000000000001,87,70,67,74,63,61,80,65,65,62,59,63,69,78,68,76,56.00000000000001,52,46,55.00000000000001,32,72,51,56.99999999999999,63,40,62,16,0,32,41,0,0,11,0,13,0,28.999999999999996,21,54,9,62,59,95,74,65,42,59,30,11,41,21,0,19,13,36,30,34,0,0,36,23,43,55.00000000000001,52,37,41,41,43,43,48,48,0,30,11,36,6,11,7.000000000000001,6,20,39,75,68,71,75,0,28.999999999999996,0,55.00000000000001,94,15,56.00000000000001,57.99999999999999,0,0,0,0,0,0,18,0,0,45,9,2,8,33,37,19,7.000000000000001,7.000000000000001,24
11-9013,5220,5220,"Farmers, Ranchers, and Other Agricultural Managers",1,"Agriculture, Food & Natural Resources",High school diploma or equivalent,None,73060,Little or no change,52,49,55.00000000000001,53,46,51,48,51,46,10,35,56.99999999999999,45,48,55.00000000000001,54,50,53,57.99999999999999,57.99999999999999,55.00000000000001,89,0,28.000000000000004,32,32,27,40,39,19,39,43,38,53,41,18,0,56.99999999999999,64,43,4,5,1,56.00000000000001,51,41,21,19,21,16,18,47,24,35,70,21,72,72,80,95,75,55.00000000000001,46,46,50,52,65,53,74,68,50,59,54,62,45,57.99999999999999,52,56.99999999999999,42,46,96,78,82,31,40,76,56.99999999999999,86,64,57.99999999999999,62,66,43,52,57.99999999999999,48,51,59,60,70,74,66,67,48,41,48,48,52,56.99999999999999,54,52,55.00000000000001,48,49,43,39,39,41,0,28.999999999999996,44,43,40,28.999999999999996,35,33,43,34,51,48,60,62,62,52,48,41,15,43,18,48,49,56.99999999999999,48,44,67,42,17,52,31,40,46,49,39,43,33,41,40,35,62,24,54,54,56.99999999999999,42,61,31,30,59,68,45,46,43,51,0,0,0,36,60,41,21,23,0,19,31,23,35,23,36,24,0,81,36,20,34,39,61,47,31,57.99999999999999,60
11-9021,284750,284750,Construction Managers,1,Architecture & Construction,Bachelor's degree,Moderate-term on-the-job training,98890,Faster than average,59,55.00000000000001,59,61,56.99999999999999,56.99999999999999,52,61,55.00000000000001,7.000000000000001,50,59,48,45,61,55.00000000000001,59,59,61,59,59,86,0,0,0,28.999999999999996,0,20,0,7.000000000000001,41,30,17,26,25,17,12,38,18,46,20,9,10,53,64,46,20,0,16,0,0,46,19,40,51,44,69,25,55.00000000000001,78,55.00000000000001,34,56.99999999999999,55.00000000000001,61,59,70,61,84,72,64,84,66,94,78,69,56.00000000000001,87,41,54,95,98,90,57.99999999999999,70,71,61,89,83,67,70,74,55.00000000000001,60,64,70,69,66,56.99999999999999,74,87,54,69,60,54,55.00000000000001,54,49,67,51,69,72,46,51,43,25,45,43,0,0,16,23,0,21,43,28.999999999999996,54,37,54,56.00000000000001,99,75,71,49,59,45,11,59,27,86,70,60,65,61,56.99999999999999,41,26,64,52,52,52,50,45,52,45,52,52,41,57.99999999999999,0,26,54,63,57.99999999999999,91,36,18,32,41,45,48,54,57.99999999999999,11,11,0,39,54,28.000000000000004,21,49,0,16,9,14.000000000000002,14.000000000000002,9,23,13,0,89,24,15,25,21,41,39,33,36,42
11-9031,56430,56430,"Education and Childcare Administrators, Preschool and Daycare",1,Education & Training,Bachelor's degree,None,47310,Faster than average,56.99999999999999,55.00000000000001,56.99999999999999,59,50,55.00000000000001,55.00000000000001,55.00000000000001,48,9,14.000000000000002,56.99999999999999,52,50,59,55.00000000000001,52,61,63,59,59,85,0,0,0,13,0,25,14.000000000000002,13,30,0,15,0,11,40,38,23,22,49,16,40,0,75,71,62,0,0,0,0,0,28.999999999999996,0,1,10,2,41,0,3,33,10,12,46,45,56.99999999999999,56.99999999999999,61,57.99999999999999,90,62,56.99999999999999,70,68,65,54,64,65,62,56.99999999999999,50,97,98,100,56.00000000000001,67,84,69,89,87,45,56.00000000000001,52,42,59,40,59,53,46,51,64,69,65,60,49,48,52,50,49,84,49,48,70,66,47,21,9,39,45,9,0,7.000000000000001,11,27,0,28.999999999999996,27,43,13,65,53,96,73,76,67,63,25,11,36,12,24,28.999999999999996,21,28.999999999999996,49,38,16,2,35,0,41,45,45,36,41,39,41,41,43,48,0,43,7.000000000000001,44,6,28.000000000000004,0,5,16,43,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,30,41,32,36,61,41,40,30,0,11,16,11,16,16,32,13,0,88,23,11,20,45,38,31,4,11,44
11-9032,274710,274710,"Education Administrators, Kindergarten through Secondary",1,Education & Training,Master's degree,None,98420,Average,64,59,63,68,61,59,61,63,61,11,34,64,55.00000000000001,56.99999999999999,64,59,54,66,71,70,64,90,0,0,0,9,0,20,0,13,21,0,12,0,20,53,24,13,16,67,26,21,0,52,44,63,0,0,0,0,0,28.000000000000004,1,6,20,0,12,0,13,45,24,17,56.99999999999999,46,63,59,69,70,90,68,69,76,78,72,72,77,74,75,55.00000000000001,61,95,97,93,66,81,89,88,89,89,60,62,62,56.00000000000001,75,68,66,65,66,68,79,78,68,67,55.00000000000001,43,55.00000000000001,56.99999999999999,32,80,36,61,73,64,50,11,0,41,43,9,7.000000000000001,0,11,7.000000000000001,0,30,23,46,13,52,49,95,73,79,50,66,43,11,39,24,27,27,18,32,44,25,0,2,41,15,46,55.00000000000001,56.99999999999999,34,45,39,43,48,41,56.00000000000001,0,35,12,45,2,6,0,0,22,35,66,59,59,72,46,52,28.000000000000004,37,84,39,51,65,0,9,9,11,14.000000000000002,11,30,13,0,77,9,4,8,17,46,37,6,15,35
11-9033,155990,155990,"Education Administrators, Postsecondary",1,Education & Training,Master's degree,None,96910,Average,61,56.99999999999999,61,61,56.99999999999999,56.99999999999999,56.99999999999999,56.99999999999999,54,7.000000000000001,13,55.00000000000001,55.00000000000001,56.99999999999999,56.99999999999999,59,55.00000000000001,68,70,70,64,91,0,0,0,0,0,16,0,0,25,3,0,0,7.000000000000001,49,11,0,0,53,7.000000000000001,21,0,38,34,41,0,0,0,0,0,23,2,7.000000000000001,6,0,27,3,13,16,7.000000000000001,0,45,50,56.99999999999999,56.99999999999999,62,62,76,54,55.00000000000001,71,73,70,64,70,62,63,55.00000000000001,56.99999999999999,94,93,88,50,55.00000000000001,80,66,87,87,74,70,65,63,64,70,70,69,68,67,79,85,67,76,53,41,54,54,40,74,47,47,69,51,53,20,0,37,43,0,0,0,0,0,0,20,27,37,0,63,59,98,74,78,34,66,0,11,32,23,0,19,0,21,35,23,12,3,23,0,45,54,54,37,45,39,43,46,39,56.99999999999999,0,18,17,28.999999999999996,3,3,0,0,0,0,56.99999999999999,56.99999999999999,59,75,18,44,14.000000000000002,47,79,25,40,55.00000000000001,0,0,0,0,0,0,11,0,0,43,9,2,4,40,35,22,0,3,18
11-9041,187100,93550,Architectural and Engineering Managers,2,"Science, Technology, Engineering & Mathematics",Bachelor's degree,None,152350,Slower than average,56.99999999999999,55.00000000000001,61,56.99999999999999,61,56.99999999999999,52,61,46,16,32,59,59,56.99999999999999,61,61,55.00000000000001,66,68,68,68,88,0,0,0,28.999999999999996,0,32,27,0,45,14.000000000000002,22,21,39,0,15,42,21,28.000000000000004,3,0,2,51,38,34,7.000000000000001,0,0,0,0,37,0,14.000000000000002,17,6,31,0,30,19,18,24,46,43,55.00000000000001,59,64,54,80,57.99999999999999,46,70,73,82,62,65,68,76,46,55.00000000000001,97,98,89,40,56.99999999999999,80,80,97,75,73,76,68,65,53,63,78,57.99999999999999,76,48,83,80,74,73,59,59,55.00000000000001,54,42,74,44,60,80,38,55.00000000000001,37,16,37,46,0,0,28.999999999999996,11,25,0,28.999999999999996,23,52,30,60,64,100,70,75,62,41,45,25,61,33,51,76,56.00000000000001,78,49,59,56.00000000000001,2,54,77,61,52,55.00000000000001,43,50,43,56.99999999999999,59,41,70,0,46,30,51,14.000000000000002,52,5,4,37,33,45,54,56.99999999999999,62,16,20,0,35,51,44,21,49,0,0,0,0,0,0,11,0,0,56.00000000000001,2,2,7.000000000000001,31,28.999999999999996,23,18,3,30
