occupation,entry_level_education,annual_wage_2021,judgment_and_decision.l,active_learning.l,complex_problem_solving.l,critical_thinking.l,equipment_selection.l,troubleshooting.l,repairing.l,equipment_maintenance.l,glare_sensitivity.l,peripheral_vision.l,sound_localization.l,arm_hand_steadiness.l,finger_dexterity.l,control_precision.l,inductive_reasoning.l,deductive_reasoning.l,information_ordering.l,therapy_and_counseling.l,medicine_and_dentistry.l,psychology.l,biology.l,physics.l,engineering_and_technology.l,mechanical.l,building_and_construction.l,administration_and_management.l,economics_and_accounting.l,personnel_and_human_resources.l,administrative.l,history_and_archeology.l,fine_arts.l,philosophy_and_theology.l,sociology_and_anthropology.l
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",High school diploma or equivalent,37550,0.41,0.37,0.39,0.43,0.32,0.39,0.37,0.36,0.18,0.18,0.23,0.45,0.45,0.45,0.43,0.45,0.45,0.14,0.13,0.25,0,0.18,0.28,0.51,0.12,0.33,0.18,0.22,0.26,0,0,0.16,0.17
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",High school diploma or equivalent,37660,0.32,0.3,0.39,0.39,0.3,0.41,0.37,0.37,0.21,0.07,0.13,0.46,0.46,0.45,0.41,0.41,0.45,0,0.17,0.19,0.21,0.29,0.4,0.46,0.24,0.4,0.16,0.2,0.21,0,0,0,0
Fabric and Apparel Patternmakers,High school diploma or equivalent,58650,0.43,0.43,0.43,0.48,0.09,0.3,0,0,0,0,0,0.5,0.45,0.43,0.46,0.52,0.54,0,0,0.26,0,0.2,0.43,0.41,0,0.43,0,0.14,0.4,0,0.23,0,0.18
Fallers,High school diploma or equivalent,47700,0.37,0.29,0.36,0.43,0.34,0.36,0.32,0.36,0.29,0.34,0.3,0.43,0.39,0.54,0.39,0.43,0.39,0,0,0,0,0,0.18,0.51,0,0.28,0,0,0,0,0,0,0
"Family and Consumer Sciences Teachers, Postsecondary",Doctoral or professional degree,79630,0.52,0.59,0.46,0.57,0,0.05,0,0,0,0,0,0,0.2,0,0.54,0.57,0.48,0.46,0.14,0.55,0.26,0,0.18,0,0,0.5,0.26,0.44,0.58,0.24,0.18,0.55,0.55
Family Medicine Physicians,Doctoral or professional degree,208000,0.68,0.57,0.61,0.64,0,0.09,0,0,0,0,0,0.41,0.39,0.34,0.73,0.61,0.54,0.77,0.84,0.8,0.81,0.21,0,0,0,0.37,0.1,0.37,0.52,0.22,0,0.39,0.42
Farm and Home Management Educators,Master's degree,49990,0.55,0.64,0.55,0.59,0,0,0,0,0.2,0.2,0.2,0.27,0.2,0.36,0.61,0.61,0.57,0.34,0.19,0.55,0.64,0.27,0.33,0.36,0.18,0.6,0.4,0.49,0.58,0.34,0,0.32,0.54
Farm Equipment Mechanics and Service Technicians,High school diploma or equivalent,46910,0.43,0.43,0.43,0.52,0.43,0.55,0.59,0.55,0.32,0.25,0.3,0.54,0.55,0.57,0.45,0.46,0.46,0.19,0.15,0.28,0.2,0.49,0.52,0.83,0.38,0.41,0.21,0.24,0.33,0.1,0,0,0.09
Farm Labor Contractors,No formal educational credential,47770,0.39,0.34,0.39,0.46,0,0.16,0,0,0.21,0.29,0.14,0.34,0.21,0.43,0.41,0.41,0.39,0.19,0.25,0.28,0,0,0.16,0.31,0,0.38,0.44,0.6,0.31,0,0,0,0
"Farmers, Ranchers, and Other Agricultural Managers",High school diploma or equivalent,73060,0.51,0.49,0.46,0.55,0.28,0.32,0.27,0.32,0.21,0.18,0.19,0.4,0.4,0.44,0.54,0.55,0.5,0.18,0,0.43,0.64,0.42,0.49,0.57,0.48,0.65,0.52,0.53,0.51,0,0,0,0.21
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",No formal educational credential,29630,0.33,0.33,0.32,0.37,0.24,0.27,0.25,0.25,0.27,0.23,0.16,0.38,0.39,0.53,0.36,0.37,0.37,0,0,0,0.26,0,0,0.21,0.16,0,0.11,0.19,0.23,0,0,0,0
"Farmworkers, Farm, Ranch, and Aquacultural Animals",No formal educational credential,29630,0.43,0.34,0.32,0.43,0.3,0.36,0.37,0.37,0.25,0.2,0.14,0.45,0.43,0.48,0.41,0.45,0.41,0.11,0.24,0.42,0.43,0.3,0.31,0.56,0.41,0.45,0.34,0.36,0.42,0.21,0,0.15,0.16
Fashion Designers,Bachelor's degree,77450,0.52,0.48,0.48,0.52,0.09,0.14,0,0,0,0,0,0.41,0.41,0.29,0.48,0.52,0.48,0,0,0.28,0,0,0.27,0.25,0,0.48,0.15,0.32,0.31,0,0.37,0.13,0
Fast Food and Counter Workers,No formal educational credential,25100,0.31,0.29,0.31,0.35,0,0.13,0,0,0,0,0,0.29,0.33,0.29,0.29,0.33,0.38,0.13,0.15,0.2,0,0,0,0.19,0,0.35,0.23,0.27,0.27,0,0,0,0
Fence Erectors,No formal educational credential,37700,0.41,0.27,0.36,0.41,0.29,0.27,0.27,0.27,0.3,0.25,0.21,0.41,0.43,0.43,0.39,0.37,0.41,0.16,0,0.25,0.09,0.43,0.46,0.48,0.58,0.54,0.1,0.3,0.25,0,0,0,0
Fiberglass Laminators and Fabricators,High school diploma or equivalent,37650,0.37,0.39,0.41,0.41,0.21,0.32,0.16,0.16,0.27,0.25,0.23,0.46,0.43,0.45,0.41,0.41,0.45,0,0.12,0.24,0.14,0.25,0.34,0.43,0.4,0.6,0.28,0.24,0.43,0,0,0,0.23
File Clerks,High school diploma or equivalent,36360,0.32,0.32,0.32,0.43,0,0,0,0,0,0,0,0.29,0.41,0.16,0.41,0.41,0.43,0.28,0.24,0.34,0,0,0,0,0,0.37,0.39,0.26,0.69,0,0,0.3,0
Film and Video Editors,Bachelor's degree,62680,0.45,0.46,0.45,0.5,0.18,0.18,0.07,0.07,0,0,0,0.34,0.41,0.32,0.48,0.5,0.55,0,0,0.23,0,0,0.47,0.18,0,0.44,0.3,0.32,0.55,0.28,0.53,0.36,0.22
Financial Examiners,Bachelor's degree,81410,0.59,0.59,0.57,0.64,0,0,0,0,0,0,0,0,0.2,0,0.64,0.66,0.55,0,0,0.21,0,0,0,0,0,0.58,0.66,0.35,0.47,0.07,0,0,0.09
Financial Managers,Bachelor's degree,131710,0.57,0.57,0.5,0.57,0,0,0,0,0,0,0,0,0.29,0.05,0.54,0.63,0.55,0,0,0.42,0,0,0,0,0,0.66,0.64,0.44,0.45,0,0,0,0.26
Financial Quantitative Analysts,Master's degree,73240,0.59,0.57,0.59,0.66,0,0,0,0,0,0,0,0.16,0.2,0.14,0.68,0.66,0.55,0,0,0.4,0,0.3,0.6,0,0,0.55,0.7,0.25,0.27,0.19,0,0.15,0.2
"Fine Artists, Including Painters, Sculptors, and Illustrators",Bachelor's degree,60820,0.43,0.48,0.41,0.46,0.23,0.2,0,0,0,0,0,0.54,0.46,0.43,0.43,0.43,0.43,0,0,0.44,0,0,0.26,0,0,0.49,0,0,0.5,0,0.61,0.25,0.44
Fire Inspectors and Investigators,Postsecondary nondegree award,64600,0.54,0.52,0.5,0.58,0,0.35,0,0,0.3,0.21,0.21,0.37,0.37,0.38,0.6,0.58,0.56,0.3,0.32,0.58,0.21,0.51,0.41,0.51,0.64,0.48,0.18,0.43,0.51,0.18,0,0.37,0.32
Fire-Prevention and Protection Engineers,Bachelor's degree,99040,0.57,0.55,0.57,0.59,0.21,0.39,0,0,0,0,0,0,0.27,0.2,0.57,0.61,0.57,0,0,0.34,0.18,0.69,0.84,0.56,0.74,0.55,0.34,0.46,0.51,0.11,0,0,0.18
Firefighters,Postsecondary nondegree award,50700,0.46,0.43,0.42,0.54,0.38,0.42,0.41,0.4,0.43,0.42,0.39,0.48,0.46,0.54,0.51,0.54,0.47,0.45,0.53,0.62,0.34,0.53,0.41,0.64,0.65,0.48,0.22,0.37,0.48,0,0,0.27,0.23
First-Line Supervisors of Construction Trades and Extraction Workers,High school diploma or equivalent,72010,0.45,0.45,0.46,0.48,0.37,0.29,0.29,0.29,0.29,0.21,0.16,0.43,0.43,0.43,0.46,0.52,0.46,0.24,0.15,0.43,0.15,0.38,0.53,0.72,0.7,0.65,0.27,0.41,0.44,0,0,0,0.17
First-Line Supervisors of Correctional Officers,High school diploma or equivalent,62220,0.46,0.46,0.46,0.57,0,0.14,0,0,0.21,0.3,0.21,0.36,0.29,0.3,0.55,0.57,0.45,0.55,0.21,0.71,0,0,0.13,0.2,0.13,0.56,0.2,0.57,0.58,0.1,0,0.46,0.51
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",High school diploma or equivalent,48640,0.5,0.47,0.47,0.51,0.33,0.37,0.34,0.35,0.28,0.27,0.23,0.42,0.42,0.48,0.5,0.52,0.46,0.2,0.17,0.38,0.44,0.3,0.41,0.56,0.4,0.58,0.33,0.43,0.42,0,0,0,0.21
First-Line Supervisors of Firefighting and Prevention Workers,Postsecondary nondegree award,78230,0.57,0.55,0.57,0.59,0.32,0.37,0.31,0.37,0.44,0.27,0.29,0.42,0.4,0.53,0.58,0.59,0.54,0.38,0.37,0.57,0.33,0.47,0.45,0.62,0.54,0.59,0.38,0.59,0.63,0.21,0,0.27,0.37
First-Line Supervisors of Food Preparation and Serving Workers,High school diploma or equivalent,36570,0.43,0.46,0.43,0.57,0,0.2,0,0,0,0,0,0.36,0.39,0.3,0.43,0.45,0.45,0.21,0.14,0.31,0,0.12,0.19,0.27,0.2,0.52,0.44,0.49,0.56,0,0,0,0.18
First-Line Supervisors of Gambling Services Workers,High school diploma or equivalent,49140,0.45,0.41,0.42,0.54,0,0.14,0,0,0,0,0,0.21,0.2,0,0.47,0.44,0.43,0,0,0.45,0,0,0.18,0.24,0,0.5,0.28,0.38,0.43,0,0,0,0
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",High school diploma or equivalent,54850,0.45,0.41,0.45,0.54,0,0.18,0,0,0.18,0.13,0.13,0.34,0.36,0.34,0.46,0.54,0.52,0.12,0,0.34,0,0.16,0.25,0.34,0.21,0.62,0.2,0.41,0.55,0,0,0,0
First-Line Supervisors of Housekeeping and Janitorial Workers,High school diploma or equivalent,39630,0.41,0.41,0.41,0.46,0.16,0.27,0.2,0.25,0,0.09,0.05,0.32,0.3,0.32,0.43,0.43,0.43,0.24,0.17,0.37,0.17,0.11,0.23,0.21,0.18,0.54,0.32,0.45,0.53,0,0,0,0.14
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",High school diploma or equivalent,48800,0.43,0.43,0.43,0.54,0.23,0.3,0.27,0.3,0.27,0.18,0.2,0.43,0.43,0.45,0.45,0.45,0.45,0.27,0.17,0.4,0.4,0.35,0.4,0.6,0.44,0.55,0.34,0.5,0.54,0.14,0,0.24,0.25
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,High school diploma or equivalent,54850,0.5,0.45,0.5,0.5,0.07,0.29,0.29,0.27,0.13,0.2,0.18,0.39,0.34,0.34,0.46,0.5,0.52,0.21,0.11,0.38,0,0.1,0.21,0.29,0.14,0.58,0.26,0.57,0.63,0,0,0.13,0.12
"First-Line Supervisors of Mechanics, Installers, and Repairers",High school diploma or equivalent,71260,0.54,0.54,0.52,0.55,0.39,0.54,0.45,0.45,0.27,0.18,0.3,0.43,0.43,0.43,0.54,0.55,0.57,0.16,0,0.36,0.17,0.3,0.46,0.66,0.25,0.63,0.33,0.52,0.51,0,0,0,0.16
First-Line Supervisors of Non-Retail Sales Workers,High school diploma or equivalent,79680,0.55,0.52,0.52,0.55,0,0,0,0,0,0,0,0.07,0.32,0.09,0.55,0.55,0.45,0.12,0,0.29,0,0,0.14,0,0,0.66,0.47,0.61,0.41,0,0,0,0
First-Line Supervisors of Office and Administrative Support Workers,High school diploma or equivalent,60590,0.45,0.54,0.46,0.55,0,0.2,0,0,0,0,0,0.09,0.3,0,0.46,0.52,0.46,0.16,0,0.26,0,0,0.21,0.12,0,0.58,0.35,0.49,0.72,0,0,0,0.14
First-Line Supervisors of Personal Service Workers,Postsecondary nondegree award,40390,0.45,0.43,0.45,0.54,0,0.14,0,0,0,0,0,0.3,0.23,0.09,0.46,0.5,0.43,0.32,0.18,0.48,0.14,0,0.09,0.19,0,0.58,0.34,0.51,0.5,0,0.14,0.29,0.36
First-Line Supervisors of Police and Detectives,High school diploma or equivalent,99330,0.52,0.55,0.57,0.59,0,0.16,0,0,0.3,0.3,0.3,0.41,0.37,0.39,0.57,0.59,0.54,0.54,0.3,0.71,0.16,0.14,0.21,0.23,0,0.62,0.3,0.63,0.58,0.19,0,0.42,0.52
First-Line Supervisors of Production and Operating Workers,High school diploma or equivalent,61790,0.46,0.45,0.52,0.54,0.32,0.36,0.3,0.3,0.16,0.16,0.14,0.41,0.43,0.43,0.52,0.54,0.52,0.2,0.1,0.41,0,0.22,0.54,0.49,0.31,0.58,0.29,0.57,0.49,0,0,0.2,0.21
First-Line Supervisors of Retail Sales Workers,High school diploma or equivalent,39230,0.43,0.48,0.5,0.55,0,0.05,0,0,0,0,0,0.34,0.34,0.21,0.43,0.52,0.45,0.29,0.15,0.25,0,0,0.12,0.1,0,0.61,0.52,0.43,0.57,0,0,0.15,0.16
Fish and Game Wardens,Bachelor's degree,60730,0.46,0.5,0.46,0.57,0.18,0.27,0.27,0.27,0.43,0.32,0.32,0.37,0.36,0.46,0.57,0.54,0.45,0.38,0.38,0.59,0.67,0.34,0.29,0.4,0.29,0.46,0.22,0.5,0.55,0.35,0,0.35,0.5
Fishing and Hunting Workers,No formal educational credential,29860,0.37,0.31,0.38,0.42,0.32,0.35,0.39,0.36,0.38,0.28,0.25,0.46,0.45,0.48,0.42,0.43,0.39,0,0.16,0.27,0.39,0.17,0.28,0.54,0.3,0.37,0.2,0.22,0.25,0,0,0,0.13
Fitness and Wellness Coordinators,Bachelor's degree,60360,0.48,0.5,0.45,0.55,0.2,0.18,0,0.09,0,0,0,0.3,0.29,0.16,0.5,0.57,0.46,0.41,0.36,0.61,0.4,0.16,0.17,0.18,0.08,0.58,0.41,0.51,0.59,0.08,0.15,0.26,0.42
Flight Attendants,High school diploma or equivalent,61640,0.41,0.43,0.37,0.52,0,0.23,0,0,0.09,0,0,0.39,0.39,0.27,0.46,0.52,0.43,0.3,0.32,0.52,0.07,0.2,0.27,0.21,0,0.37,0,0.45,0.31,0,0,0.26,0.38
"Floor Layers, Except Carpet, Wood, and Hard Tiles",No formal educational credential,48060,0.32,0.36,0.36,0.41,0.13,0.13,0,0,0.18,0.07,0.07,0.43,0.39,0.41,0.41,0.43,0.43,0,0,0.34,0,0.3,0.33,0.54,0.63,0.4,0,0.13,0,0,0,0,0
Floor Sanders and Finishers,No formal educational credential,39140,0.32,0.32,0.36,0.34,0.25,0.29,0.29,0.29,0.11,0.16,0.09,0.41,0.41,0.43,0.3,0.37,0.41,0,0,0.2,0,0.14,0.38,0.53,0.64,0.37,0.19,0.21,0.35,0,0,0,0
Floral Designers,High school diploma or equivalent,29880,0.39,0.41,0.37,0.48,0.09,0,0,0,0,0.05,0,0.43,0.37,0.21,0.41,0.45,0.45,0,0,0.25,0.18,0.08,0.07,0.12,0,0.46,0.21,0.27,0.3,0,0.27,0.14,0.13
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",No formal educational credential,35480,0.37,0.37,0.39,0.43,0.29,0.32,0.29,0.32,0.11,0.09,0.14,0.45,0.43,0.46,0.41,0.41,0.43,0,0,0,0.14,0.16,0.23,0.32,0,0.21,0,0,0,0,0,0,0
Food Batchmakers,High school diploma or equivalent,35780,0.34,0.3,0.37,0.41,0.13,0.29,0.09,0.18,0.07,0.05,0.16,0.34,0.3,0.43,0.41,0.41,0.45,0.15,0.1,0.34,0.33,0.37,0.4,0.45,0.15,0.51,0.25,0.26,0.46,0,0,0,0.27
Food Cooking Machine Operators and Tenders,High school diploma or equivalent,35890,0.32,0.34,0.34,0.34,0.07,0.25,0.05,0.16,0.05,0.05,0.13,0.39,0.32,0.41,0.39,0.41,0.45,0,0,0.23,0,0,0.12,0.46,0,0.46,0,0.28,0.23,0,0,0,0
Food Preparation Workers,No formal educational credential,28780,0.3,0.3,0.3,0.3,0,0.2,0,0,0,0,0,0.41,0.39,0.3,0.3,0.3,0.36,0,0,0.19,0,0,0,0.17,0,0.49,0.19,0.17,0.17,0,0,0,0
Food Science Technicians,Postsecondary nondegree award,46590,0.43,0.46,0.43,0.52,0.27,0.27,0.27,0.3,0.07,0.07,0.07,0.37,0.41,0.34,0.5,0.5,0.45,0,0,0.23,0.43,0.25,0.31,0.43,0,0.37,0.14,0.24,0.53,0,0,0.17,0
Food Scientists and Technologists,Bachelor's degree,78340,0.55,0.55,0.55,0.61,0.11,0.3,0,0,0,0,0,0.29,0.36,0.27,0.57,0.57,0.55,0,0.26,0.32,0.75,0.53,0.61,0.44,0.22,0.56,0.26,0.37,0.47,0.12,0,0.14,0.24
"Food Servers, Non Restaurant",No formal educational credential,28730,0.3,0.3,0.3,0.34,0,0.16,0,0,0,0,0,0.37,0.32,0.29,0.32,0.3,0.3,0.2,0.19,0.42,0.16,0.15,0.21,0.25,0.14,0.34,0.23,0.26,0.32,0,0,0.17,0.22
Food Service Managers,High school diploma or equivalent,59440,0.41,0.54,0.43,0.54,0.13,0.21,0.13,0.16,0,0,0,0.41,0.41,0.32,0.43,0.5,0.45,0.32,0.18,0.41,0.18,0,0.18,0.3,0.22,0.57,0.44,0.5,0.5,0.15,0,0.22,0.22
"Foreign Language and Literature Teachers, Postsecondary",Doctoral or professional degree,77030,0.54,0.57,0.52,0.55,0,0,0,0,0,0,0,0,0.09,0,0.54,0.52,0.43,0.16,0,0.37,0,0,0,0,0,0.36,0.12,0.33,0.46,0.61,0.38,0.61,0.6
Forensic Science Technicians,Bachelor's degree,61930,0.54,0.52,0.52,0.57,0.34,0.3,0.21,0.25,0.3,0.23,0.2,0.46,0.43,0.41,0.59,0.66,0.57,0.17,0.26,0.48,0.44,0.3,0.46,0.43,0.15,0.34,0.09,0.18,0.53,0.28,0,0.22,0.34
Forest and Conservation Technicians,Associate's degree,39290,0.48,0.43,0.43,0.48,0.27,0.29,0.27,0.27,0.34,0.25,0.2,0.45,0.43,0.43,0.46,0.54,0.5,0.21,0.14,0.3,0.48,0.35,0.45,0.49,0.36,0.47,0.26,0.43,0.43,0.38,0,0.18,0.22
Forest and Conservation Workers,High school diploma or equivalent,30550,0.41,0.37,0.39,0.45,0.3,0.29,0.29,0.29,0.25,0.27,0.27,0.41,0.43,0.48,0.45,0.43,0.45,0.1,0.14,0.3,0.52,0.22,0.38,0.47,0.28,0.5,0.48,0.41,0.63,0.32,0,0,0.16
Forest Fire Inspectors and Prevention Specialists,High school diploma or equivalent,42600,0.46,0.46,0.46,0.55,0.2,0.3,0.16,0.2,0.23,0.2,0.16,0.39,0.37,0.41,0.52,0.52,0.45,0.3,0.25,0.47,0.44,0.46,0.38,0.57,0.31,0.61,0.33,0.6,0.62,0.32,0,0.12,0.32
Foresters,Bachelor's degree,64110,0.63,0.52,0.59,0.61,0.25,0.09,0,0,0.29,0.27,0.2,0.37,0.29,0.39,0.55,0.55,0.55,0.14,0.11,0.27,0.57,0.29,0.45,0.36,0.28,0.55,0.41,0.49,0.6,0.35,0,0.17,0.28
"Forestry and Conservation Science Teachers, Postsecondary",Doctoral or professional degree,82330,0.5,0.61,0.57,0.61,0,0.09,0,0,0.11,0.09,0.09,0.09,0.14,0.18,0.59,0.59,0.46,0.29,0.22,0.38,0.7,0.33,0.34,0.37,0.25,0.46,0.25,0.59,0.55,0.41,0,0.13,0.45
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",High school diploma or equivalent,44520,0.37,0.3,0.39,0.41,0.25,0.39,0.3,0.32,0.18,0.16,0.18,0.45,0.45,0.5,0.43,0.43,0.43,0.15,0,0.24,0,0.31,0.49,0.62,0.32,0.51,0,0.26,0.38,0,0,0,0
Foundry Mold and Coremakers,High school diploma or equivalent,37710,0.32,0.25,0.29,0.36,0.21,0.3,0.18,0.16,0.14,0.09,0.11,0.45,0.46,0.43,0.3,0.3,0.37,0,0,0,0,0.18,0.29,0.4,0.12,0.32,0.11,0.18,0.27,0,0,0,0
"Fraud Examiners, Investigators and Analysts",Bachelor's degree,73240,0.55,0.5,0.5,0.59,0,0,0,0,0,0,0,0,0.18,0.13,0.59,0.59,0.55,0.21,0.16,0.58,0,0,0.22,0,0.13,0.56,0.66,0.51,0.51,0.13,0,0.3,0.33
Freight Forwarders,High school diploma or equivalent,46910,0.45,0.45,0.45,0.48,0,0,0,0,0,0,0,0,0.25,0,0.46,0.5,0.45,0,0,0.2,0,0,0,0.11,0,0.53,0.4,0.4,0.63,0,0,0,0
Fuel Cell Engineers,Bachelor's degree,95300,0.55,0.54,0,0.59,0.36,0.45,0.39,0.32,0,0,0,0.39,0.41,0.39,0.59,0.59,0.54,0,0,0.14,0,0.8,0.92,0.65,0.2,0.45,0.28,0.32,0.33,0,0,0,0
Fundraisers,Bachelor's degree,60660,0.54,0.5,0.46,0.57,0,0,0,0,0,0,0,0,0.25,0.07,0.54,0.59,0.54,0.12,0,0.41,0,0,0.08,0,0,0.63,0.55,0.52,0.62,0.14,0.14,0.3,0.37
Funeral Attendants,High school diploma or equivalent,29230,0.37,0.21,0.29,0.39,0.09,0.16,0,0.18,0.13,0.07,0.09,0.3,0.2,0.32,0.36,0.36,0.39,0.24,0.11,0.44,0.16,0.1,0,0.2,0,0.39,0.21,0,0.45,0,0,0.34,0.3
Funeral Home Managers,Associate's degree,74000,0.45,0.43,0.43,0.52,0,0.16,0,0,0.16,0.18,0.16,0.3,0.34,0.29,0.45,0.45,0.45,0.41,0.33,0.66,0.38,0.08,0.15,0.2,0.19,0.59,0.41,0.57,0.64,0.25,0,0.59,0.42
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",High school diploma or equivalent,43710,0.3,0.34,0.37,0.43,0.13,0.29,0.14,0.21,0.13,0.07,0.07,0.43,0.41,0.5,0.41,0.41,0.43,0.23,0.22,0.29,0,0.19,0.34,0.51,0.24,0.34,0.21,0.28,0.27,0,0,0.17,0.15
Furniture Finishers,High school diploma or equivalent,36580,0.39,0.39,0.39,0.45,0.32,0.32,0.3,0.29,0.13,0.11,0.07,0.45,0.46,0.46,0.43,0.43,0.45,0,0,0.15,0,0.15,0.24,0.42,0.33,0.21,0,0.22,0.07,0,0,0,0
Gambling and Sports Book Writers and Runners,High school diploma or equivalent,27530,0.36,0.36,0.32,0.41,0,0.11,0,0,0,0,0,0.29,0.34,0.25,0.39,0.45,0.45,0,0,0.31,0,0,0.12,0,0,0.34,0.36,0.25,0.26,0,0,0,0.19
Gambling Cage Workers,High school diploma or equivalent,29360,0.34,0.32,0.29,0.46,0,0,0,0,0.05,0,0,0.29,0.3,0.27,0.45,0.45,0.43,0,0,0.25,0,0,0,0.08,0,0.27,0.27,0.21,0.33,0,0,0,0.13
Gambling Change Persons and Booth Cashiers,No formal educational credential,28600,0.3,0.3,0.32,0.41,0.14,0.25,0.23,0.14,0,0,0.09,0.34,0.37,0.3,0.37,0.41,0.43,0,0,0.38,0,0,0,0,0,0.12,0.26,0,0.41,0,0,0,0.19
Gambling Dealers,High school diploma or equivalent,24960,0.34,0.34,0.29,0.41,0,0.05,0,0,0,0,0,0.36,0.41,0.25,0.41,0.43,0.45,0.12,0,0.35,0,0,0,0,0,0.35,0.22,0.17,0.22,0,0,0.14,0.16
Gambling Managers,High school diploma or equivalent,76910,0.55,0.52,0.46,0.57,0,0.11,0,0,0.05,0.07,0,0.09,0.3,0,0.55,0.57,0.52,0.26,0.09,0.53,0,0,0.26,0.33,0.16,0.72,0.51,0.54,0.58,0.13,0,0.19,0.3
Gambling Surveillance Officers and Gambling Investigators,High school diploma or equivalent,35450,0.45,0.45,0.36,0.54,0,0.11,0,0,0,0.14,0,0.25,0.25,0.23,0.54,0.5,0.45,0,0,0.44,0,0.09,0.24,0.18,0,0.44,0.22,0.28,0.56,0,0,0.21,0.19
Gas Compressor and Gas Pumping Station Operators,High school diploma or equivalent,70720,0.39,0.34,0.43,0.43,0.3,0.45,0.43,0.45,0.29,0.2,0.21,0.45,0.45,0.45,0.45,0.46,0.43,0.11,0.14,0,0,0.35,0.5,0.65,0.31,0.6,0.16,0.37,0.39,0,0,0,0
Gas Plant Operators,High school diploma or equivalent,77850,0.43,0.45,0.45,0.48,0.39,0.48,0.43,0.43,0.3,0.23,0.25,0.41,0.43,0.5,0.48,0.5,0.46,0,0.15,0.26,0.11,0.51,0.51,0.79,0.45,0.35,0.09,0.13,0.37,0,0,0,0
Gem and Diamond Workers,High school diploma or equivalent,46640,0.46,0.37,0.37,0.45,0.36,0.25,0.21,0.25,0,0,0,0.75,0.63,0,0.45,0.45,0.39,0,0,0.21,0,0,0.21,0.26,0,0.45,0.28,0.24,0.38,0,0,0,0.09
General and Operations Managers,Bachelor's degree,97970,0.54,0.52,0.54,0.57,0,0.2,0,0,0.05,0.13,0.09,0.21,0,0.2,0.48,0.54,0.52,0.21,0.12,0.4,0.13,0.2,0.33,0.42,0.37,0.74,0.55,0.63,0.53,0,0,0,0.19
General Internal Medicine Physicians,Doctoral or professional degree,208000,0.61,0.57,0.57,0.68,0.11,0.13,0,0,0,0,0,0.39,0.43,0.3,0.77,0.71,0.59,0.86,0.9,0.82,0.8,0.43,0.37,0,0,0.58,0.5,0.51,0.61,0.16,0,0.45,0.44
Genetic Counselors,Master's degree,80150,0.57,0.55,0.54,0.59,0,0,0,0,0,0,0,0,0.32,0,0.66,0.66,0.57,0.75,0.6,0.7,0.8,0.1,0.13,0,0,0.34,0.11,0.27,0.57,0.12,0,0.48,0.64
Geneticists,Bachelor's degree,82530,0.57,0.59,0.57,0.63,0,0.16,0,0,0,0,0,0.27,0.32,0.27,0.7,0.68,0.57,0.21,0.41,0.27,0.97,0.35,0.38,0.21,0,0.54,0.15,0.47,0.35,0.17,0,0.21,0.33
Geodetic Surveyors,Bachelor's degree,61600,0.54,0.55,0.55,0.57,0.34,0.27,0.23,0.23,0.14,0.14,0.14,0.39,0.39,0.41,0.59,0.57,0.57,0.13,0.09,0.24,0.13,0.61,0.74,0.34,0.33,0.5,0.33,0.41,0.54,0.26,0,0.16,0.21
Geographers,Bachelor's degree,85220,0.52,0.55,0.55,0.57,0,0,0,0,0,0,0,0,0.16,0,0.59,0.59,0.55,0.13,0,0.4,0.56,0.37,0.29,0.14,0.13,0.5,0.19,0.37,0.49,0.66,0.1,0.53,0.8
Geographic Information Systems Technologists and Technicians,Bachelor's degree,95270,0.48,0.53,0.53,0.56,0,0,0,0,0,0,0,0.27,0.37,0.29,0.54,0.57,0.57,0,0,0.18,0.4,0.35,0.48,0.28,0.17,0.52,0.21,0,0.53,0.34,0,0,0.28
"Geography Teachers, Postsecondary",Doctoral or professional degree,81440,0.54,0.59,0.54,0.57,0,0,0,0,0,0,0,0,0.11,0,0.55,0.55,0.52,0.17,0,0.28,0.33,0.33,0.13,0.07,0,0.3,0.12,0.26,0.3,0.62,0.15,0.52,0.55
"Geological Technicians, Except Hydrologic Technicians",Bachelor's degree,48310,0.42,0.41,0.43,0.48,0,0.33,0,0,0,0,0,0.37,0.41,0.35,0.51,0.51,0.51,0,0,0,0,0.56,0.61,0.48,0.26,0.42,0.17,0.25,0.41,0.29,0,0,0
"Geoscientists, Except Hydrologists and Geographers",Bachelor's degree,83680,0.57,0.54,0.59,0.61,0.16,0.09,0,0,0.11,0.13,0.09,0.25,0.21,0.29,0.64,0.63,0.59,0,0,0.21,0.54,0.6,0.55,0.37,0.24,0.53,0.32,0.42,0.5,0.49,0,0.18,0.24
