"occupation","active_listening","pure_mathematics","reading_comprehension","natural_science","speaking","writing","active_learning","critical_thinking","learning_strategies","monitoring","complex_problem_solving","management_of_financial_resources","management_of_material_resources","management_of_personal_resources","time_management","coordination","instructing","negotiation","persuasion","service_orientation","social_perceptiveness","judgment_and_decision","systems_analysis","systems_evaluation","installation","quality_control_analysis","technology_design","equipment_selection","equipment_maintenance","programming","troubleshooting","operations_monitoring","repairing","operation_and_control","operations_analysis","multitasking","selective_attention","problem_sensitivity","fluency_of_ideas","originality","deductive_reasoning","inductive_reasoning","category_flexibility","information_ordering","perceptual_speed","flexibility_of_closure","speed_of_closure","number_facility","mathematical_reasoning","spatial_orientation","visualization","written_expression","oral_expression","oral_comprehension","written_comprehension","memorization","dynamic_flexibility","gross_body_equilibrium","extent_flexibility","gross_body_coordination","explosive_strength","static_strength","dynamic_strength","trunk_strength","stamina","response_orientation","control_precision","multilimb_coordination","rate_control","arm_hand_steadiness","finger_dexterity","manual_dexterity","speed_of_limb_movement","wrist_finger_speed","reaction_time","speech_clarity","auditory_attention","speech_recognition","sound_localization","hearing_sensitivity","far_vision","glare_sensitivity","night_vision","depth_perception","visual_color_discrimination","peripheral_vision","near_vision","native_language","history_and_archeology","foreign_language","philosophy_and_theology","fine_arts","administration_and_management","economics_and_accounting","customer_and_personal_service","personnel_and_human_resources","administrative","sales_and_marketing","communications_and_media","telecommunications","building_and_construction","engineering_and_technology","mechanical","industrial_design","computers_and_electronics","education_and_training","therapy_and_counseling","medicine_and_dentistry","public_safety_and_security","law_and_government","food_production","production_and_processing","geography","chemistry","applied_mathematics","physics","sociology_and_anthropology","biology","psychology","transportation"
"Retail Salespersons",0.54,0.29,0.45,0,0.45,0.43,0.41,0.45,0.32,0.45,0.36,0.18,0.14,0.3,0.41,0.43,0.39,0.54,0.57,0.55,0.45,0.39,0.27,0.29,0,0.18,0.14,0,0,0,0.13,0.21,0,0.2,0.09,0.36,0.37,0.46,0.41,0.37,0.43,0.41,0.41,0.41,0.3,0.3,0.3,0.37,0.32,0,0.3,0.43,0.55,0.52,0.43,0.32,0,0.2,0.23,0.25,0.11,0.25,0.16,0.39,0.25,0,0.29,0.25,0.05,0.29,0.32,0.27,0.07,0.05,0.07,0.45,0.3,0.52,0,0.25,0.34,0,0,0.18,0.29,0,0.43,0.46,0,0.18,0,0.11,0.42,0.24,0.58,0.24,0.46,0.64,0.32,0.16,0,0.2,0.24,0.19,0.44,0.33,0.17,0,0.27,0.21,0,0.29,0.14,0,0.43,0,0.23,0,0.42,0.18
"Riggers",0.43,0.14,0.34,0.07,0.39,0.34,0.32,0.43,0.16,0.45,0.43,0.05,0.05,0.41,0.41,0.45,0.3,0.3,0.3,0.32,0.36,0.43,0.3,0.3,0.25,0.43,0.09,0.39,0.36,0,0.41,0.45,0.37,0.46,0.3,0.37,0.43,0.46,0.3,0.32,0.43,0.43,0.43,0.45,0.43,0.37,0.3,0.13,0.11,0.29,0.55,0.34,0.54,0.45,0.39,0.29,0,0.45,0.45,0.41,0.18,0.45,0.32,0.46,0.41,0.39,0.5,0.48,0.36,0.43,0.43,0.45,0.25,0.3,0.45,0.41,0.41,0.39,0.23,0.36,0.48,0.36,0.25,0.57,0.34,0.3,0.45,0.47,0.13,0,0,0,0.51,0.24,0.55,0.31,0.35,0.35,0.29,0.2,0.63,0.53,0.62,0.55,0.47,0.53,0,0.15,0.51,0.23,0,0.48,0.28,0.29,0.51,0.41,0.21,0.16,0.33,0.4
"Robotics Engineers",0.57,0.66,0.7,0.54,0.55,0.55,0.64,0.66,0.54,0.55,0.59,0.37,0.32,0.52,0.57,0.54,0.5,0.41,0.48,0.32,0.5,0.59,0.57,0.59,0.46,0.61,0.59,0.59,0.54,0.55,0.55,0.54,0.54,0.48,0.57,0.41,0.45,0.64,0.59,0.66,0.68,0.64,0.55,0.64,0.54,0.55,0.48,0.57,0.68,0.14,0.66,0.66,0.66,0.7,0.71,0.43,0,0,0.27,0,0.07,0.09,0,0.29,0,0.2,0.46,0.34,0.37,0.43,0.52,0.43,0.07,0.27,0.43,0.43,0.37,0.48,0.07,0.41,0.5,0.11,0.05,0.37,0.5,0.05,0.55,0.61,0,0.3,0,0,0.5,0.33,0.49,0.33,0.46,0.39,0.31,0.49,0.35,0.88,0.8,0.83,0.81,0.61,0,0.15,0.46,0.31,0.2,0.56,0,0.49,0.79,0.72,0,0.22,0.19,0.24
"Robotics Technicians",0.52,0.54,0.57,0.46,0.46,0.45,0.52,0.57,0.45,0.46,0.52,0.14,0.18,0.34,0.41,0.45,0.45,0.32,0.37,0.43,0.39,0.45,0.45,0.46,0.46,0.55,0.41,0.46,0.55,0.39,0.57,0.55,0.57,0.52,0.32,0.39,0.46,0.57,0.45,0.46,0.59,0.57,0.52,0.57,0.46,0.48,0.45,0.43,0.43,0.25,0.55,0.55,0.57,0.57,0.61,0.45,0,0.25,0.34,0.27,0.13,0.37,0.27,0.34,0.27,0.37,0.57,0.41,0.39,0.55,0.59,0.55,0.23,0.36,0.43,0.45,0.37,0.48,0.27,0.36,0.43,0.27,0.2,0.41,0.52,0.23,0.59,0.51,0,0.14,0,0,0.38,0.19,0.4,0.27,0.4,0.17,0.17,0.41,0.36,0.71,0.71,0.6,0.75,0.49,0,0,0.39,0.23,0,0.53,0,0.38,0.69,0.58,0,0.14,0.13,0.23
"Rock Splitters, Quarry",0.37,0.21,0.34,0,0.37,0.3,0.3,0.37,0.29,0.36,0.36,0.09,0.09,0.23,0.34,0.39,0.25,0.23,0.29,0.3,0.32,0.32,0.11,0.11,0,0.36,0,0.25,0.29,0,0.32,0.41,0.25,0.43,0,0.37,0.39,0.39,0.21,0.27,0.39,0.39,0.41,0.41,0.36,0.36,0.2,0.21,0.18,0.27,0.41,0.3,0.41,0.43,0.36,0.21,0,0.43,0.52,0.46,0,0.54,0.46,0.52,0.48,0.39,0.46,0.48,0.41,0.48,0.45,0.48,0.39,0.25,0.48,0.36,0.39,0.37,0.11,0.34,0.32,0,0.2,0.41,0.41,0.18,0.46,0.38,0,0.24,0.23,0,0.35,0.29,0.42,0.31,0.26,0.26,0.11,0,0.27,0.35,0.42,0,0,0.45,0.27,0.3,0.32,0.24,0,0.48,0,0.3,0.35,0.38,0,0.22,0.19,0.35
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.39,0.36,0.41,0.05,0.39,0.37,0.43,0.43,0.39,0.43,0.39,0.13,0.18,0.37,0.43,0.43,0.41,0.23,0.25,0.29,0.36,0.41,0.39,0.34,0.29,0.55,0.13,0.34,0.43,0.09,0.43,0.57,0.41,0.55,0.16,0.36,0.48,0.45,0.32,0.3,0.43,0.41,0.43,0.43,0.48,0.43,0.34,0.29,0.3,0.25,0.43,0.34,0.48,0.48,0.43,0.3,0,0.29,0.39,0.36,0.13,0.48,0.37,0.45,0.39,0.46,0.55,0.54,0.52,0.45,0.45,0.43,0.39,0.41,0.55,0.39,0.48,0.36,0.23,0.41,0.43,0.21,0.2,0.43,0.37,0.27,0.48,0.54,0,0,0,0,0.41,0,0.5,0.23,0.13,0,0.21,0.23,0.18,0.35,0.65,0.19,0.34,0.49,0,0,0.37,0.1,0,0.62,0,0.32,0.36,0.22,0.08,0,0,0.26
"Roof Bolters, Mining",0.41,0.25,0.32,0.11,0.32,0.32,0.41,0.43,0.36,0.45,0.34,0.16,0.16,0.32,0.43,0.5,0.37,0.3,0.3,0.3,0.32,0.34,0.29,0.3,0.21,0.43,0,0.32,0.43,0,0.43,0.46,0.41,0.45,0,0.41,0.46,0.48,0.3,0.3,0.43,0.41,0.36,0.46,0.36,0.36,0.29,0.27,0.18,0.39,0.43,0.32,0.43,0.48,0.3,0.3,0.16,0.43,0.57,0.39,0.23,0.54,0.48,0.52,0.45,0.48,0.57,0.55,0.45,0.45,0.45,0.54,0.36,0.39,0.55,0.43,0.48,0.43,0.36,0.43,0.45,0.39,0.36,0.48,0.34,0.3,0.45,0.34,0,0,0,0,0.3,0.18,0.3,0.2,0.24,0.25,0.2,0.15,0.23,0.36,0.56,0.32,0.28,0.53,0,0,0.5,0.45,0,0.54,0.25,0.22,0.24,0.22,0,0,0.15,0.3
"Roofers",0.39,0.3,0.37,0,0.36,0.29,0.34,0.41,0.29,0.39,0.39,0.14,0.14,0.29,0.39,0.55,0.3,0.25,0.27,0.32,0.36,0.36,0.21,0.18,0.13,0.3,0.11,0.16,0.16,0,0.25,0.37,0.18,0.41,0.18,0.37,0.43,0.41,0.3,0.32,0.45,0.41,0.41,0.43,0.41,0.34,0.23,0.29,0.21,0.25,0.43,0.3,0.43,0.54,0.41,0.2,0.16,0.57,0.54,0.45,0.21,0.46,0.34,0.54,0.46,0.34,0.43,0.46,0.39,0.45,0.45,0.45,0.3,0.3,0.45,0.37,0.37,0.39,0.16,0.25,0.45,0.3,0.2,0.43,0.34,0.2,0.48,0.34,0,0.28,0,0,0.41,0.19,0.55,0.22,0.23,0.2,0.1,0,0.76,0.4,0.54,0.48,0.17,0.52,0.1,0.16,0.41,0.25,0,0.24,0,0.3,0.44,0.33,0.09,0,0.14,0.32
"Rotary Drill Operators, Oil and Gas",0.41,0.27,0.43,0,0.41,0.43,0.43,0.46,0.45,0.46,0.45,0,0.16,0.46,0.48,0.48,0.48,0.39,0.41,0.32,0.39,0.43,0.3,0.27,0,0.46,0.07,0.32,0.45,0,0.43,0.5,0.46,0.52,0.14,0.43,0.57,0.5,0.39,0.38,0.48,0.46,0.45,0.54,0.43,0.41,0.34,0.32,0.29,0.29,0.45,0.45,0.52,0.54,0.43,0.36,0,0.36,0.41,0.38,0,0.48,0,0.45,0.3,0.41,0.54,0.5,0.46,0.43,0.45,0.48,0.25,0.2,0.45,0.38,0.5,0.41,0.21,0.39,0.43,0.3,0.3,0.41,0.39,0.21,0.48,0.24,0,0,0,0,0.41,0,0.36,0.47,0.24,0,0.2,0.16,0.25,0.36,0.71,0.18,0.23,0.53,0.21,0.23,0.38,0.21,0,0.36,0.23,0.46,0.53,0.29,0,0,0.38,0.37
"Roustabouts, Oil and Gas",0.36,0.25,0.27,0,0.3,0.23,0.34,0.34,0.29,0.39,0.3,0.11,0.18,0.25,0.32,0.43,0.32,0.21,0.21,0.23,0.32,0.34,0.27,0.23,0.07,0.37,0.13,0.3,0.36,0,0.37,0.37,0.39,0.37,0,0.34,0.41,0.39,0.27,0.29,0.37,0.37,0.36,0.39,0.43,0.41,0.27,0.23,0.2,0.29,0.43,0.2,0.37,0.43,0.27,0.29,0.09,0.36,0.52,0.36,0.18,0.54,0.34,0.48,0.39,0.39,0.48,0.48,0.32,0.39,0.41,0.43,0.3,0.29,0.41,0.34,0.41,0.36,0.27,0.37,0.41,0.29,0.23,0.43,0.36,0.27,0.43,0.33,0,0.29,0,0,0.31,0,0.3,0.21,0,0,0,0.15,0.47,0.3,0.54,0.24,0,0.36,0,0.19,0.42,0.21,0,0.32,0.25,0.38,0.45,0.37,0.2,0.23,0.2,0.37
"Sailors and Marine Oilers",0.43,0.3,0.45,0.14,0.43,0.41,0.41,0.43,0.37,0.45,0.41,0.16,0.21,0.39,0.43,0.43,0.43,0.36,0.37,0.41,0.41,0.43,0.32,0.32,0,0.45,0.2,0.36,0.43,0,0.45,0.54,0.45,0.5,0,0.45,0.45,0.5,0.32,0.32,0.43,0.43,0.43,0.45,0.46,0.55,0.36,0.3,0.3,0.41,0.46,0.41,0.46,0.55,0.45,0.3,0,0.45,0.48,0.43,0.2,0.52,0.41,0.5,0.41,0.41,0.54,0.54,0.43,0.45,0.45,0.45,0.32,0.37,0.46,0.43,0.55,0.43,0.41,0.48,0.63,0.5,0.36,0.55,0.48,0.36,0.54,0.39,0,0,0,0,0.51,0,0.39,0,0.25,0,0.24,0.19,0.18,0.34,0.47,0.19,0.22,0.45,0.08,0.25,0.39,0.27,0.26,0.29,0.35,0.44,0.36,0.37,0,0,0.19,0.42
"Sales Engineers",0.61,0.54,0.68,0.32,0.59,0.57,0.55,0.57,0.5,0.52,0.54,0.3,0.37,0.43,0.46,0.52,0.48,0.57,0.61,0.55,0.57,0.57,0.54,0.54,0,0.36,0.43,0.11,0,0.27,0.34,0.29,0,0.25,0.39,0.37,0.41,0.55,0.57,0.54,0.57,0.57,0.55,0.57,0.43,0.43,0.39,0.52,0.52,0,0.45,0.59,0.71,0.68,0.64,0.45,0,0,0,0,0,0,0,0,0,0,0.29,0.21,0,0.25,0.3,0.25,0,0,0,0.59,0.25,0.59,0,0.25,0.46,0,0,0.3,0.41,0,0.55,0.57,0,0.24,0,0,0.48,0.31,0.76,0.42,0.43,0.7,0.39,0.34,0,0.6,0.48,0.43,0.69,0.36,0,0,0.22,0.25,0,0.5,0.45,0.32,0.67,0.27,0.23,0,0.19,0.28
"Sales Managers",0.57,0.46,0.57,0.09,0.59,0.57,0.55,0.57,0.54,0.68,0.55,0.52,0.43,0.57,0.55,0.59,0.52,0.55,0.63,0.55,0.59,0.57,0.54,0.55,0,0.2,0.13,0,0,0.13,0,0.25,0,0.18,0.41,0.34,0.37,0.55,0.54,0.55,0.63,0.57,0.52,0.48,0.34,0.39,0.43,0.52,0.54,0.07,0.36,0.57,0.59,0.64,0.57,0.43,0,0,0,0,0,0,0,0.2,0,0.07,0.13,0.09,0,0.07,0.18,0.09,0,0.07,0,0.59,0.27,0.57,0,0.21,0.41,0,0,0.14,0.23,0,0.54,0.67,0,0.19,0.17,0.09,0.75,0.53,0.77,0.56,0.61,0.88,0.43,0.28,0.16,0.29,0.2,0.2,0.57,0.66,0.15,0,0.21,0.3,0,0.44,0.34,0.14,0.6,0.13,0.24,0,0.42,0.3
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",0.57,0.32,0.54,0,0.57,0.46,0.46,0.54,0.3,0.46,0.43,0.14,0.14,0.25,0.43,0.45,0.39,0.55,0.57,0.45,0.5,0.43,0.3,0.3,0,0,0.11,0,0,0.07,0,0.11,0,0.14,0.18,0.3,0.34,0.46,0.45,0.43,0.46,0.45,0.43,0.45,0.3,0.32,0.3,0.36,0.34,0.11,0.32,0.54,0.59,0.57,0.55,0.32,0,0.05,0.11,0.09,0.07,0.09,0.07,0.23,0.11,0.14,0.27,0.29,0.09,0.25,0.29,0.2,0,0.09,0.11,0.55,0.18,0.57,0.07,0.13,0.32,0.11,0.09,0.18,0.25,0.11,0.46,0.67,0,0.18,0,0,0.57,0.34,0.78,0,0.29,0.75,0.49,0,0,0,0,0,0.5,0,0,0,0,0.15,0,0.32,0,0,0.61,0,0.18,0,0.24,0.56
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",0.59,0.41,0.59,0.09,0.57,0.52,0.54,0.54,0.43,0.45,0.45,0.37,0.36,0.36,0.43,0.48,0.45,0.57,0.57,0.48,0.54,0.48,0.43,0.37,0,0.16,0.23,0.09,0,0.14,0,0.23,0,0.18,0.36,0.3,0.32,0.52,0.52,0.52,0.55,0.46,0.43,0.46,0.3,0.39,0.41,0.45,0.39,0,0.32,0.55,0.66,0.64,0.57,0.45,0,0,0,0,0,0,0,0.25,0,0,0.27,0.27,0,0,0.29,0,0,0,0,0.59,0.23,0.57,0,0.23,0.39,0,0,0.21,0.29,0,0.52,0.52,0,0.14,0.13,0,0.51,0.28,0.65,0.23,0.47,0.68,0.33,0.26,0.16,0.38,0.23,0.29,0.54,0.39,0.14,0.12,0.18,0.26,0,0.48,0.27,0.29,0.53,0,0.22,0,0.36,0.3
"Sawing Machine Setters, Operators, and Tenders, Wood",0.36,0.21,0.37,0,0.3,0.2,0.29,0.39,0.27,0.41,0.32,0.07,0.11,0.21,0.34,0.36,0.3,0.23,0.23,0.23,0.32,0.34,0.25,0.21,0.07,0.41,0.05,0.27,0.37,0,0.37,0.45,0.36,0.43,0.2,0.27,0.45,0.41,0.25,0.25,0.39,0.41,0.37,0.41,0.41,0.39,0.25,0.25,0.25,0.13,0.45,0.27,0.41,0.43,0.39,0.25,0.05,0.18,0.39,0.27,0.05,0.41,0.3,0.45,0.43,0.36,0.5,0.45,0.39,0.45,0.45,0.43,0.29,0.29,0.46,0.36,0.39,0.34,0.11,0.32,0.41,0.11,0.11,0.43,0.34,0.16,0.45,0.23,0,0,0,0,0.13,0,0,0,0,0,0,0,0.26,0.25,0.48,0.23,0.17,0.26,0,0,0.25,0,0,0.4,0,0,0.28,0,0,0,0.18,0.15
"School Psychologists",0.64,0.34,0.68,0.25,0.61,0.59,0.55,0.59,0.55,0.57,0.57,0,0,0.41,0.52,0.52,0.5,0.48,0.5,0.55,0.71,0.57,0.48,0.5,0,0.05,0.09,0,0,0.11,0,0.13,0,0,0.16,0.41,0.41,0.61,0.48,0.5,0.59,0.63,0.48,0.5,0.41,0.45,0.34,0.43,0.45,0,0.32,0.68,0.68,0.7,0.7,0.37,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.25,0,0,0.07,0,0.57,0.23,0.57,0,0.21,0.39,0,0,0,0.2,0,0.52,0.54,0,0,0.36,0,0.3,0,0.81,0.28,0.66,0.14,0.35,0,0,0.11,0.12,0.17,0.53,0.77,0.87,0.26,0.31,0.5,0,0,0.16,0,0.62,0,0.73,0.21,0.91,0.12
"Search Marketing Strategists",0.57,0.41,0.59,0,0.54,0.54,0.55,0.55,0.43,0.54,0.59,0.29,0.27,0.43,0.5,0.52,0.45,0.45,0.52,0.43,0.46,0.54,0.54,0.54,0,0.21,0.32,0,0,0.3,0,0.27,0,0,0.32,0.37,0.43,0.55,0.55,0.55,0.55,0.55,0.46,0.5,0.37,0.45,0.37,0.41,0.41,0,0.3,0.59,0.59,0.57,0.57,0.34,0,0,0,0,0,0,0,0.09,0,0,0.07,0,0,0.07,0.18,0.05,0,0,0,0.54,0.11,0.55,0,0.16,0.39,0,0,0,0.29,0,0.48,0.66,0,0.11,0.18,0.08,0.52,0.27,0.53,0.3,0.63,0.8,0.5,0.21,0,0.3,0,0.38,0.7,0.5,0,0,0.13,0.32,0,0.22,0.35,0,0.61,0,0.42,0,0.44,0
"Secondary School Teachers, Except Special and Career/Technical Education",0.59,0.43,0.59,0.25,0.59,0.55,0.54,0.55,0.63,0.59,0.5,0.13,0.25,0.43,0.48,0.48,0.59,0.41,0.45,0.5,0.55,0.52,0.45,0.45,0,0.2,0.13,0.05,0,0.11,0,0.09,0,0.05,0.18,0.39,0.43,0.57,0.48,0.54,0.59,0.52,0.46,0.45,0.39,0.41,0.39,0.41,0.43,0,0.41,0.59,0.68,0.59,0.59,0.41,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.07,0.23,0.05,0,0.07,0,0.59,0.3,0.59,0,0.23,0.5,0,0,0.09,0.25,0,0.55,0.74,0.42,0.26,0.46,0.31,0.37,0.15,0.59,0.46,0.52,0.25,0.41,0.16,0.11,0.26,0.16,0.27,0.6,0.82,0.41,0.25,0.42,0.28,0,0.22,0.42,0.31,0.53,0.24,0.52,0.33,0.57,0.25
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",0.54,0.23,0.55,0,0.52,0.5,0.43,0.52,0.27,0.46,0.37,0.18,0.21,0.37,0.43,0.41,0.34,0.3,0.3,0.45,0.43,0.37,0.3,0.25,0,0.2,0.07,0,0,0.11,0,0.14,0,0,0.16,0.39,0.41,0.43,0.29,0.29,0.41,0.41,0.43,0.45,0.29,0.3,0.29,0.25,0.25,0,0.29,0.55,0.57,0.57,0.55,0.27,0,0,0,0,0,0,0,0.13,0,0,0.14,0,0,0.18,0.23,0.2,0,0.29,0,0.46,0.2,0.54,0,0.16,0.3,0,0,0,0.21,0,0.55,0.61,0,0.15,0.14,0,0.45,0.37,0.62,0.37,0.83,0.28,0.35,0.23,0,0,0,0,0.65,0.41,0.2,0.22,0.33,0.28,0,0.21,0.15,0,0.47,0,0.2,0,0.29,0.24
"Securities, Commodities, and Financial Services Sales Agents",0.58,0.54,0.6,0,0.58,0.55,0.53,0.6,0.38,0.52,0.47,0.34,0.21,0.35,0.42,0.46,0.42,0.51,0.56,0.46,0.49,0.54,0.48,0.47,0,0,0.08,0,0,0.17,0,0.12,0,0,0,0.3,0.39,0.54,0.49,0.42,0.62,0.55,0.49,0.49,0.36,0.39,0.36,0.53,0.51,0,0.29,0.55,0.63,0.61,0.59,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0.5,0.25,0.53,0,0.21,0.38,0,0,0.1,0.19,0,0.53,0.54,0.16,0,0,0,0.49,0.6,0.67,0.32,0.52,0.6,0.3,0.2,0,0.23,0,0,0.54,0.39,0,0,0.16,0.38,0,0.2,0.21,0,0.63,0,0,0,0,0
"Security Guards",0.41,0.11,0.43,0.07,0.39,0.41,0.36,0.41,0.32,0.45,0.32,0,0.05,0.25,0.29,0.41,0.3,0.29,0.36,0.37,0.37,0.32,0.14,0.2,0,0.2,0,0,0,0,0.16,0.3,0,0.27,0.07,0.34,0.54,0.5,0.29,0.29,0.43,0.43,0.29,0.41,0.41,0.45,0.34,0.14,0.14,0.23,0.3,0.34,0.52,0.52,0.41,0.27,0,0.25,0.29,0.3,0.3,0.39,0.27,0.37,0.32,0.29,0.29,0.3,0.16,0.25,0.25,0.23,0.2,0.13,0.3,0.39,0.32,0.41,0.21,0.34,0.48,0.29,0.16,0.3,0.32,0.2,0.45,0.45,0.1,0.14,0.19,0,0.19,0,0.55,0.21,0.31,0.12,0.27,0.26,0,0.1,0.11,0,0.25,0.35,0.25,0.22,0.54,0.32,0,0,0.24,0.17,0.2,0,0.24,0.11,0.45,0.24
"Security and Fire Alarm Systems Installers",0.45,0.3,0.46,0.18,0.43,0.41,0.43,0.5,0.34,0.45,0.43,0.11,0.14,0.29,0.41,0.41,0.37,0.27,0.27,0.41,0.41,0.43,0.36,0.36,0.45,0.45,0.13,0.29,0.37,0.13,0.46,0.41,0.39,0.39,0.25,0.39,0.39,0.46,0.37,0.39,0.45,0.45,0.41,0.43,0.41,0.41,0.3,0.3,0.27,0.29,0.48,0.41,0.52,0.54,0.45,0.29,0,0.29,0.45,0.29,0.11,0.32,0.3,0.39,0.29,0.3,0.43,0.43,0.2,0.45,0.46,0.45,0.11,0.21,0.27,0.43,0.39,0.43,0.2,0.36,0.45,0.21,0.14,0.3,0.46,0.14,0.52,0.46,0,0,0,0,0.33,0.16,0.67,0.15,0.27,0.26,0.29,0.65,0.55,0.44,0.52,0.36,0.61,0.45,0,0,0.6,0.26,0,0.42,0,0,0.4,0.28,0,0,0,0
"Segmental Pavers",0.43,0.29,0.39,0,0.39,0.37,0.36,0.43,0.34,0.41,0.39,0.13,0.14,0.39,0.41,0.54,0.37,0.37,0.39,0.39,0.39,0.37,0.3,0.3,0,0.37,0.14,0.29,0.3,0,0.36,0.37,0.29,0.41,0.25,0.41,0.46,0.41,0.37,0.39,0.43,0.41,0.41,0.45,0.36,0.32,0.32,0.29,0.29,0.34,0.45,0.37,0.45,0.5,0.39,0.27,0,0.23,0.29,0.36,0,0.46,0.41,0.45,0.34,0.39,0.48,0.46,0.32,0.45,0.39,0.43,0.3,0.25,0.43,0.43,0.41,0.43,0.18,0.37,0.41,0.29,0.14,0.39,0.34,0.23,0.46,0.22,0.1,0,0.14,0,0.44,0.12,0.55,0,0,0,0.14,0.14,0.48,0.43,0.56,0.33,0,0.32,0.17,0.17,0.36,0.18,0,0,0.23,0.29,0.3,0.24,0,0.13,0.21,0.46
"Self-Enrichment Teachers",0.46,0.23,0.54,0.05,0.52,0.45,0.45,0.45,0.5,0.45,0.41,0,0.07,0.32,0.39,0.43,0.46,0.29,0.41,0.43,0.46,0.43,0.3,0.3,0,0.18,0.11,0,0,0.11,0.09,0.2,0,0.11,0.21,0.29,0.34,0.45,0.45,0.46,0.45,0.43,0.43,0.45,0.29,0.32,0.29,0.25,0.27,0,0.32,0.5,0.57,0.57,0.54,0.34,0,0.14,0.21,0.09,0,0.18,0.11,0.29,0.14,0.07,0.18,0.18,0,0.25,0.27,0.2,0,0.09,0,0.54,0.29,0.45,0,0.16,0.37,0,0,0.11,0.25,0,0.43,0.62,0,0.32,0.21,0.3,0.26,0,0.58,0.21,0.31,0.32,0.35,0,0,0,0.2,0,0.38,0.81,0.2,0.12,0.22,0.3,0,0.19,0.33,0,0.33,0,0.38,0.08,0.44,0.1
"Semiconductor Processing Technicians",0.41,0.25,0.48,0.18,0.41,0.37,0.32,0.41,0.29,0.43,0.39,0.07,0.13,0.25,0.39,0.37,0.32,0.27,0.3,0.29,0.39,0.41,0.27,0.2,0,0.48,0.14,0.3,0.41,0.11,0.39,0.5,0.37,0.41,0.23,0.3,0.43,0.43,0.3,0.3,0.45,0.43,0.43,0.46,0.45,0.38,0.23,0.25,0.27,0.07,0.43,0.48,0.48,0.48,0.48,0.34,0,0.16,0,0.27,0,0.38,0.25,0.36,0.29,0.39,0.46,0.41,0.36,0.48,0.52,0.45,0.16,0.27,0.38,0.38,0.29,0.41,0.11,0.27,0.36,0.16,0.11,0.36,0.41,0.11,0.52,0.55,0,0.06,0.18,0,0.35,0,0.35,0.1,0.17,0,0.26,0.11,0,0.32,0.25,0.11,0.54,0.48,0,0,0.33,0,0,0.53,0,0.44,0.41,0.13,0,0,0.09,0.07
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.43,0.37,0.41,0.29,0.41,0.41,0.41,0.43,0.41,0.45,0.41,0.2,0.25,0.34,0.41,0.41,0.37,0.29,0.3,0.3,0.37,0.39,0.36,0.3,0.25,0.39,0.13,0.27,0.37,0.11,0.37,0.54,0.37,0.45,0.14,0.39,0.43,0.46,0.32,0.3,0.43,0.43,0.43,0.43,0.48,0.45,0.34,0.3,0.29,0.27,0.43,0.41,0.52,0.5,0.41,0.36,0,0.39,0.45,0.37,0.16,0.48,0.3,0.43,0.37,0.37,0.43,0.43,0.39,0.43,0.43,0.43,0.21,0.3,0.5,0.41,0.43,0.41,0.21,0.41,0.43,0.3,0.25,0.39,0.43,0.25,0.54,0.38,0,0,0,0,0.32,0.11,0.33,0.21,0.25,0.2,0.25,0.14,0.23,0.36,0.54,0.2,0.37,0.46,0,0,0.38,0.24,0,0.59,0,0.44,0.42,0.37,0.13,0.24,0.25,0.23
"Septic Tank Servicers and Sewer Pipe Cleaners",0.41,0.34,0.41,0,0.36,0.37,0.37,0.43,0.34,0.41,0.43,0.23,0.27,0.3,0.41,0.39,0.34,0.29,0.34,0.32,0.37,0.39,0.32,0.3,0.21,0.37,0.14,0.27,0.41,0,0.43,0.43,0.45,0.43,0.11,0.41,0.43,0.43,0.34,0.29,0.43,0.43,0.37,0.41,0.43,0.41,0.34,0.34,0.29,0.32,0.43,0.37,0.43,0.46,0.37,0.3,0.11,0.36,0.45,0.37,0.2,0.45,0.41,0.5,0.39,0.45,0.52,0.43,0.41,0.43,0.43,0.45,0.29,0.34,0.5,0.39,0.43,0.39,0.29,0.43,0.43,0.36,0.27,0.41,0.37,0.29,0.45,0.41,0,0.06,0,0,0.44,0.18,0.64,0.32,0.34,0.17,0.25,0.2,0.41,0.43,0.58,0.34,0.37,0.43,0,0.11,0.41,0.32,0,0.33,0.33,0.33,0.42,0.37,0,0.26,0.23,0.54
